1.01,Female,No
1.66,Male,No
3.5,Male,No
3.31,Male,No
3.61,Female,No
4.71,Male,No
2.0,Male,No
3.12,Male,No
1.96,Male,No
3.23,Male,No
1.71,Male,No
5.0,Female,No
1.57,Male,No
3.0,Male,No
3.02,Female,No
3.92,Male,No
1.67,Female,No
3.71,Male,No
3.5,Female,No
3.35,Male,No
4.08,Male,No
2.75,Female,No
2.23,Female,No
7.58,Male,No
3.18,Male,No
2.34,Male,No
2.0,Male,No
2.0,Male,No
4.3,Male,No
3.0,Female,No
1.45,Male,No
2.5,Male,No
3.0,Female,No
2.45,Female,No
3.27,Male,No
3.6,Male,No
2.0,Male,No
3.07,Female,No
2.31,Male,No
5.0,Male,No
2.24,Male,No
2.54,Male,No
3.06,Male,No
1.32,Male,No
5.6,Male,No
3.0,Male,No
5.0,Male,No
6.0,Male,No
2.05,Male,No
3.0,Male,No
2.5,Male,No
2.6,Female,No
5.2,Female,No
1.56,Male,No
4.34,Male,No
3.51,Male,No
3.0,Male,Yes
1.5,Female,No
1.76,Male,Yes
6.73,Male,No
3.21,Male,Yes
2.0,Male,Yes
1.98,Male,Yes
3.76,Male,Yes
2.64,Male,No
3.15,Male,No
2.47,Female,No
1.0,Female,Yes
2.01,Male,No
2.09,Male,Yes
1.97,Male,No
3.0,Female,No
3.14,Female,Yes
5.0,Female,Yes
2.2,Female,No
1.25,Male,No
3.08,Male,Yes
4.0,Male,No
3.0,Male,No
2.71,Male,No
3.0,Male,Yes
3.4,Male,No
1.83,Female,No
5.0,Male,Yes
2.03,Male,No
5.17,Female,No
2.0,Male,No
4.0,Male,No
5.85,Male,No
3.0,Male,No
3.0,Male,Yes
3.5,Male,No
1.0,Female,Yes
4.3,Female,Yes
3.25,Female,No
4.73,Male,Yes
4.0,Male,Yes
1.5,Male,Yes
3.0,Male,Yes
1.5,Male,No
2.5,Female,Yes
3.0,Female,Yes
2.5,Female,Yes
3.48,Female,Yes
4.08,Female,No
1.64,Male,Yes
4.06,Male,Yes
4.29,Male,Yes
3.76,Male,No
4.0,Female,Yes
3.0,Male,No
1.0,Female,No
4.0,Male,No
2.55,Male,No
4.0,Female,No
3.5,Female,No
5.07,Male,No
1.5,Female,No
1.8,Female,No
2.92,Female,No
2.31,Male,No
1.68,Female,No
2.5,Male,No
2.0,Male,No
2.52,Female,No
4.2,Female,No
1.48,Male,No
2.0,Female,No
2.0,Female,No
2.18,Male,No
1.5,Male,No
2.83,Female,No
1.5,Female,No
2.0,Female,No
3.25,Female,No
1.25,Female,No
2.0,Female,No
2.0,Female,No
2.0,Male,Yes
2.75,Female,No
3.5,Female,No
6.7,Male,No
5.0,Male,No
5.0,Female,No
2.3,Female,No
1.5,Female,No
1.36,Female,No
1.63,Female,No
1.73,Male,No
2.0,Male,No
2.5,Male,No
2.0,Male,No
2.74,Male,No
2.0,Male,No
2.0,Male,No
5.14,Female,No
5.0,Male,No
3.75,Female,No
2.61,Female,No
2.0,Male,No
3.5,Male,No
2.5,Male,No
2.0,Female,No
2.0,Male,No
3.0,Female,Yes
3.48,Male,No
2.24,Male,No
4.5,Male,No
1.61,Female,Yes
2.0,Female,Yes
10.0,Male,Yes
3.16,Male,Yes
5.15,Male,Yes
3.18,Male,Yes
4.0,Male,Yes
3.11,Male,Yes
2.0,Male,Yes
2.0,Male,Yes
4.0,Female,Yes
3.55,Male,Yes
3.68,Male,Yes
5.65,Male,Yes
3.5,Male,Yes
6.5,Male,Yes
3.0,Male,Yes
5.0,Male,No
3.5,Female,Yes
2.0,Male,Yes
3.5,Female,Yes
4.0,Male,Yes
1.5,Male,Yes
4.19,Female,Yes
2.56,Male,Yes
2.02,Male,Yes
4.0,Male,Yes
1.44,Male,No
2.0,Male,Yes
5.0,Female,Yes
2.0,Female,Yes
2.0,Male,Yes
4.0,Male,Yes
2.01,Female,Yes
2.0,Female,Yes
2.5,Female,Yes
4.0,Male,Yes
3.23,Female,Yes
3.41,Male,Yes
3.0,Male,Yes
2.03,Male,Yes
2.23,Female,Yes
2.0,Male,Yes
5.16,Male,Yes
9.0,Male,No
2.5,Female,Yes
6.5,Female,Yes
1.1,Female,Yes
3.0,Male,Yes
1.5,Male,Yes
1.44,Male,Yes
3.09,Female,Yes
2.2,Male,Yes
3.48,Female,Yes
1.92,Male,Yes
3.0,Female,No
1.58,Male,Yes
2.5,Female,Yes
2.0,Female,Yes
3.0,Male,No
2.72,Male,No
2.88,Female,Yes
2.0,Male,Yes
3.0,Male,Yes
3.39,Male,No
1.47,Male,No
3.0,Male,Yes
1.25,Male,No
1.0,Male,Yes
1.17,Male,Yes
4.67,Female,No
5.92,Male,No
2.0,Female,Yes
2.0,Male,Yes
1.75,Male,No
3.0,Female,No
